event_time,user_id,video_id,watch_time,duration,watch_ratio,is_click,is_like,is_share,timestamp
2022-05-03 11:39:25.705,627,1686520,1.258,10.3,0.1221,0,0,0,2026-05-03T11:44:04.609+07:00
2022-04-27 13:08:48.777,118,423236,7.415,156.2,0.0475,1,0,0,2026-05-03T11:44:04.620+07:00
2022-04-22 03:02:10.713,917,360112,1.957,293.68,0.0067,0,0,0,2026-05-03T11:44:04.692+07:00
2022-05-05 15:38:56.413,716,3425915,1.383,8.0,0.1729,0,0,0,2026-05-03T11:44:04.713+07:00
2022-05-01 13:20:06.272,996,2070442,1.081,53.0,0.0204,0,0,0,2026-05-03T11:44:04.724+07:00
2022-05-02 07:06:39.065,539,1092124,21.737,30.833,0.705,1,0,0,2026-05-03T11:44:04.734+07:00
2022-05-07 06:03:26.745,736,363927,8.48,7.266,1.0,1,0,0,2026-05-03T11:44:04.796+07:00
2022-04-30 23:59:15.078,187,393728,10.84,11.133,0.9737,1,0,0,2026-05-03T11:44:04.806+07:00
2022-05-01 02:15:39.569,104,4276215,0.0,198.2,0.0,0,0,0,2026-05-03T11:44:04.848+07:00
2022-05-05 23:51:00.833,571,2736121,80.34,186.866,0.4299,1,0,0,2026-05-03T11:44:04.868+07:00
2022-04-23 21:52:36.440,925,2080591,7.273,8.931,0.8144,1,0,0,2026-05-03T11:44:04.920+07:00
2022-05-08 12:08:13.464,904,233800,12.902,11.2,1.0,1,0,0,2026-05-03T11:44:04.941+07:00
2022-05-05 06:17:10.738,352,2233272,0.0,15.2,0.0,0,0,0,2026-05-03T11:44:04.951+07:00
2022-05-04 22:38:56.535,580,1837595,2.768,99.56,0.0278,0,0,0,2026-05-03T11:44:04.962+07:00
2022-05-03 09:03:21.564,999,37556,6.827,94.2,0.0725,0,0,0,2026-05-03T11:44:04.972+07:00
2022-04-28 07:07:12.903,265,349009,1.585,10.958,0.1446,0,0,0,2026-05-03T11:44:05.003+07:00
2022-04-23 03:54:54.729,797,1723307,1.295,249.817,0.0052,0,0,0,2026-05-03T11:44:05.034+07:00
2022-05-06 09:52:16.727,997,3039004,5.609,72.0,0.0779,0,0,0,2026-05-03T11:44:05.045+07:00
2022-04-23 22:20:22.395,567,1500846,0.0,41.833,0.0,0,0,0,2026-05-03T11:44:05.086+07:00
2022-04-22 14:39:20.563,492,2866756,57.081,43.5,1.0,1,0,0,2026-05-03T11:44:05.137+07:00
2022-05-05 19:30:18.105,954,4174300,1.3,22.566,0.0576,0,0,0,2026-05-03T11:44:05.148+07:00
2022-04-27 08:22:32.718,599,1226754,0.0,70.033,0.0,0,0,0,2026-05-03T11:44:05.189+07:00
2022-05-03 11:40:56.229,981,995895,1.195,6.066,0.197,0,0,0,2026-05-03T11:44:05.221+07:00
2022-04-30 02:27:39.235,13,1284339,7.42,148.414,0.05,1,0,0,2026-05-03T11:44:05.262+07:00
2022-05-01 19:02:48.465,447,488789,0.0,101.383,0.0,0,0,0,2026-05-03T11:44:05.272+07:00
2022-05-02 08:55:42.354,875,1123643,4.614,44.866,0.1028,0,0,0,2026-05-03T11:44:05.283+07:00
2022-04-27 17:35:34.819,549,1115374,14.903,19.133,0.7789,1,0,0,2026-05-03T11:44:05.303+07:00
2022-04-24 08:08:16.394,445,2185665,16.232,8.133,1.0,1,0,0,2026-05-03T11:44:05.324+07:00
2022-05-01 05:34:49.458,561,3166122,7.482,8.47,0.8834,1,0,0,2026-05-03T11:44:05.345+07:00
2022-04-28 11:43:05.554,382,1468862,0.259,12.0,0.0216,0,0,0,2026-05-03T11:44:05.407+07:00
2022-04-29 09:27:02.807,684,1459425,5.621,123.6,0.0455,0,0,0,2026-05-03T11:44:05.427+07:00
2022-04-22 05:26:31.895,790,1150114,105.285,11.0,1.0,1,0,0,2026-05-03T11:44:05.448+07:00
