video_id,window_start,window_end,views_count,unique_users,avg_watch_ratio,growth_rate,engagement_count,hot_score,predicted_hot,hot_label,cache_rank,cache_priority,cache_decision,reason
564300,2022-05-04 02:00:00+07:00,2022-05-04 02:30:00+07:00,6,3,0.3807042253521127,6.0,0,0.7261408450704225,1,HOT,1,VERY_HIGH,CACHE,Predicted as HOT; preload this video-window into cache.
2956359,2022-05-02 09:00:00+07:00,2022-05-02 09:30:00+07:00,6,3,0.2723001949317738,6.0,0,0.7044600389863548,1,HOT,2,VERY_HIGH,CACHE,Predicted as HOT; preload this video-window into cache.
1567127,2022-05-05 00:30:00+07:00,2022-05-05 01:00:00+07:00,6,3,0.2347284870100352,6.0,0,0.6969456974020071,1,HOT,3,VERY_HIGH,CACHE,Predicted as HOT; preload this video-window into cache.
3047548,2022-04-30 02:00:00+07:00,2022-04-30 02:30:00+07:00,6,3,0.2309570957095709,6.0,0,0.6961914191419142,1,HOT,4,VERY_HIGH,CACHE,Predicted as HOT; preload this video-window into cache.
932758,2022-04-28 23:30:00+07:00,2022-04-29 00:00:00+07:00,4,2,0.8309958717412205,4.0,2,0.6828658410149108,1,HOT,5,VERY_HIGH,CACHE,Predicted as HOT; preload this video-window into cache.
2118287,2022-04-30 22:30:00+07:00,2022-04-30 23:00:00+07:00,6,3,0.0,6.0,0,0.65,1,HOT,6,VERY_HIGH,CACHE,Predicted as HOT; preload this video-window into cache.
3566206,2022-05-02 14:00:00+07:00,2022-05-02 14:30:00+07:00,4,2,0.8058747336313876,4.0,0,0.5278416133929442,1,HOT,7,VERY_HIGH,CACHE,Predicted as HOT; preload this video-window into cache.
3184822,2022-05-08 13:30:00+07:00,2022-05-08 14:00:00+07:00,4,2,0.011514729299363,4.0,2,0.5189696125265393,1,HOT,8,VERY_HIGH,CACHE,Predicted as HOT; preload this video-window into cache.
2036889,2022-05-04 05:00:00+07:00,2022-05-04 05:30:00+07:00,4,2,0.7192688610544713,4.0,0,0.5105204388775609,1,HOT,9,VERY_HIGH,CACHE,Predicted as HOT; preload this video-window into cache.
348887,2022-04-29 09:00:00+07:00,2022-04-29 09:30:00+07:00,4,2,0.7113530591542316,4.0,0,0.508937278497513,1,HOT,10,VERY_HIGH,CACHE,Predicted as HOT; preload this video-window into cache.
90677,2022-04-24 13:00:00+07:00,2022-04-24 13:30:00+07:00,4,2,0.6860731027252076,4.0,0,0.5038812872117082,1,HOT,11,VERY_HIGH,CACHE,Predicted as HOT; preload this video-window into cache.
4221089,2022-04-30 14:00:00+07:00,2022-04-30 14:30:00+07:00,4,2,0.6488483803424068,4.0,0,0.496436342735148,1,HOT,12,VERY_HIGH,CACHE,Predicted as HOT; preload this video-window into cache.
1058395,2022-05-06 08:00:00+07:00,2022-05-06 08:30:00+07:00,4,2,0.605,4.0,0,0.4876666666666667,1,HOT,13,VERY_HIGH,CACHE,Predicted as HOT; preload this video-window into cache.
3228510,2022-05-04 08:30:00+07:00,2022-05-04 09:00:00+07:00,4,2,0.5900872817955112,4.0,0,0.4846841230257689,1,HOT,14,VERY_HIGH,CACHE,Predicted as HOT; preload this video-window into cache.
4274226,2022-05-07 22:00:00+07:00,2022-05-07 22:30:00+07:00,4,2,0.563721442334159,4.0,0,0.4794109551334985,1,HOT,15,VERY_HIGH,CACHE,Predicted as HOT; preload this video-window into cache.
327555,2022-05-03 14:30:00+07:00,2022-05-03 15:00:00+07:00,4,2,0.5236344866420571,4.0,0,0.4713935639950781,1,HOT,16,VERY_HIGH,CACHE,Predicted as HOT; preload this video-window into cache.
2135629,2022-04-30 15:30:00+07:00,2022-04-30 16:00:00+07:00,4,2,0.5176767676767676,4.0,0,0.4702020202020202,1,HOT,17,VERY_HIGH,CACHE,Predicted as HOT; preload this video-window into cache.
1704141,2022-05-07 08:30:00+07:00,2022-05-07 09:00:00+07:00,4,2,0.5152564102564102,4.0,0,0.4697179487179487,1,HOT,18,VERY_HIGH,CACHE,Predicted as HOT; preload this video-window into cache.
960978,2022-05-07 07:30:00+07:00,2022-05-07 08:00:00+07:00,4,2,0.4971394918391384,4.0,0,0.4660945650344943,1,HOT,19,VERY_HIGH,CACHE,Predicted as HOT; preload this video-window into cache.
4218481,2022-04-23 16:00:00+07:00,2022-04-23 16:30:00+07:00,4,2,0.4539580182044954,4.0,0,0.4574582703075658,1,HOT,20,VERY_HIGH,CACHE,Predicted as HOT; preload this video-window into cache.
3276450,2022-05-03 14:30:00+07:00,2022-05-03 15:00:00+07:00,4,2,0.4475189711827143,4.0,0,0.4561704609032095,1,HOT,21,VERY_HIGH,CACHE,Predicted as HOT; preload this video-window into cache.
