video_id,window_start,window_end,views_count,unique_users,avg_watch_ratio,growth_rate,engagement_count,hot_score,hot_label
945,2026-05-01 08:00:00,2026-05-01 08:30:00,20,20,0.52665,20.0,8,0.7007337574705996,HOT
694,2026-05-01 12:30:00,2026-05-01 13:00:00,30,18,0.5860533333333334,0.875,11,0.6415304181929182,NOT_HOT
281,2026-05-01 13:30:00,2026-05-01 14:00:00,31,26,0.4597709677419355,0.631578947368421,10,0.6149627542802416,NOT_HOT
75,2026-05-01 08:00:00,2026-05-01 08:30:00,15,15,0.6653733333333334,15.0,7,0.5878428314375683,NOT_HOT
426,2026-05-01 08:00:00,2026-05-01 08:30:00,18,18,0.4397388888888889,18.0,4,0.5854874579611422,NOT_HOT
297,2026-05-01 08:00:00,2026-05-01 08:30:00,17,17,0.4812117647058823,17.0,4,0.5679694882001383,NOT_HOT
163,2026-05-01 08:00:00,2026-05-01 08:30:00,17,17,0.3547470588235294,17.0,5,0.5541516177321131,NOT_HOT
457,2026-05-01 12:30:00,2026-05-01 13:00:00,22,17,0.5901909090909091,1.2,12,0.5512943021890391,NOT_HOT
780,2026-05-01 08:00:00,2026-05-01 08:30:00,14,14,0.5657642857142857,14.0,7,0.5420377592332479,NOT_HOT
846,2026-05-01 08:00:00,2026-05-01 08:30:00,17,17,0.3307,17.0,4,0.537791690765375,NOT_HOT
88,2026-05-01 08:00:00,2026-05-01 08:30:00,15,15,0.5263933333333334,15.0,5,0.5369002442002442,NOT_HOT
147,2026-05-01 08:00:00,2026-05-01 08:30:00,15,15,0.5721933333333333,15.0,3,0.5230062785168048,NOT_HOT
887,2026-05-01 13:00:00,2026-05-01 13:30:00,30,22,0.3088666666666667,0.25,6,0.5204493364822312,NOT_HOT
212,2026-05-01 08:00:00,2026-05-01 08:30:00,16,16,0.48738125,16.0,2,0.5202962213225372,NOT_HOT
628,2026-05-01 08:00:00,2026-05-01 08:30:00,14,14,0.4441,14.0,7,0.5176439174860228,NOT_HOT
694,2026-05-01 13:00:00,2026-05-01 13:30:00,27,23,0.5460259259259259,-0.1,5,0.5133366036173054,NOT_HOT
126,2026-05-01 08:00:00,2026-05-01 08:30:00,17,17,0.3079176470588236,17.0,2,0.5101468773744315,NOT_HOT
355,2026-05-01 08:00:00,2026-05-01 08:30:00,15,15,0.4176533333333333,15.0,4,0.5035592763961185,NOT_HOT
572,2026-05-01 08:00:00,2026-05-01 08:30:00,15,15,0.46274,15.0,3,0.5010607480239059,NOT_HOT
837,2026-05-01 08:00:00,2026-05-01 08:30:00,13,13,0.7178615384615384,13.0,3,0.5005462695199537,NOT_HOT
